PROGNAME,VARIANT,ARGS,HOSTNAME,RUNID,CI_BUILD_ID,THREADS,DATETIME,MINTIME,MEDIANTIME,MAXTIME,MINTIME_PRODUCTIVITY,MEDIANTIME_PRODUCTIVITY,MAXTIME_PRODUCTIVITY,ALLTIMES,TRIALS,COMPILER,COMPILE_FLAGS,RUNTIME_FLAGS,ENV_VARS,BENCH_VERSION,BENCH_FILE,UNAME,PROCESSOR,TOPOLOGY,GIT_BRANCH,GIT_HASH,GIT_DEPTH,WHO,ETC_ISSUE,LSPCI,FULL_LOG,MEDIANTIME_ALLOCRATE,MEDIANTIME_MEMFOOTPRINT,ALLJITTIMES,RETRIES
"mothur","nondet","","cutter03","cutter03_1492109685","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=mothur,label=CREST_cutter-6","1","2017-04-13 18:54:45.550637 UTC","139.701561209","139.849832441","140.520198182","","97.7","","140.520198182 140.32245784 140.027374026 140.012946731 139.849832441 139.701561209 140.203844144 139.928742837 140.003587046","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2","+RTS -s -RTS","[[]]","0.0","","Linux cutter03 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","master~6^2~1","94956e26d3bd6bad46568cb5b765db9595c85834","416","","","","","173031190","617688","","0"
"mothur","nondet","","cutter03","cutter03_1492109685","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=mothur,label=CREST_cutter-6","2","2017-04-13 18:54:45.550637 UTC","69.925581243","70.50181623","70.50181623","","100.0","","69.952700665 69.925581243 70.168750532 70.021239615 70.50181623 70.176357462 70.080527962 70.294238232 70.457288576","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2","+RTS -s -RTS","[[]]","0.0","","Linux cutter03 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","master~6^2~1","94956e26d3bd6bad46568cb5b765db9595c85834","416","","","","","317801272","952072","","0"
"mothur","nondet","","cutter03","cutter03_1492109685","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=mothur,label=CREST_cutter-6","3","2017-04-13 18:54:45.550637 UTC","47.839154272","47.903254952","48.580159149","","92.3","","48.580159149 48.186301476 47.996867325 48.226243419 47.903254952 48.021204182 47.839154272 48.064034809 48.208905385","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2","+RTS -s -RTS","[[]]","0.0","","Linux cutter03 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","master~6^2~1","94956e26d3bd6bad46568cb5b765db9595c85834","416","","","","","287703500","982064","","0"
"mothur","nondet","","cutter03","cutter03_1492109685","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=mothur,label=CREST_cutter-6","4","2017-04-13 18:54:45.550637 UTC","36.657284217","36.737674193","36.981217827","","94.1","","36.90326116 36.657284217 36.981217827 36.979113908 36.737674193 36.823441451 36.683463645 36.757237433 36.886692488","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2","+RTS -s -RTS","[[]]","0.0","","Linux cutter03 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","master~6^2~1","94956e26d3bd6bad46568cb5b765db9595c85834","416","","","","","427883375","1121824","","0"
"mothur","nondet","","cutter03","cutter03_1492109685","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=mothur,label=CREST_cutter-6","5","2017-04-13 18:54:45.550637 UTC","30.77838121","31.142470643","31.240451133","","78.9","","31.032165138 30.77838121 31.10090619 31.220707843 31.142470643 31.162274217 31.240451133 31.151598893 31.199954016","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2","+RTS -s -RTS","[[]]","0.0","","Linux cutter03 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","master~6^2~1","94956e26d3bd6bad46568cb5b765db9595c85834","416","","","","","455540133","1256320","","0"
"mothur","nondet","","cutter03","cutter03_1492109685","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=mothur,label=CREST_cutter-6","6","2017-04-13 18:54:45.550637 UTC","26.136119311","26.309652952","26.431641371","","100.0","","26.398775856 26.14262016 26.29306534 26.283536177 26.309652952 26.136119311 26.264278983 26.302502338 26.431641371","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2","+RTS -s -RTS","[[]]","0.0","","Linux cutter03 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","master~6^2~1","94956e26d3bd6bad46568cb5b765db9595c85834","416","","","","","524116153","1292272","","0"
"mothur","nondet","","cutter03","cutter03_1492109685","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=mothur,label=CREST_cutter-6","7","2017-04-13 18:54:45.550637 UTC","25.311259766","25.46714633","25.800205462","","94.1","","25.490219007 25.311259766 25.450006004 25.484524941 25.46714633 25.800205462 25.425665054 25.497707133 25.735019482","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2","+RTS -s -RTS","[[]]","0.0","","Linux cutter03 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","master~6^2~1","94956e26d3bd6bad46568cb5b765db9595c85834","416","","","","","425131375","1164776","","0"
"mothur","nondet","","cutter03","cutter03_1492109685","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=mothur,label=CREST_cutter-6","8","2017-04-13 18:54:45.550637 UTC","24.037368892","24.554180586","24.554180586","","100.0","","24.447749019 24.32011238 24.120204013 24.31967593 24.554180586 24.037368892 24.099547215 24.439492285 24.340838062","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2","+RTS -s -RTS","[[]]","0.0","","Linux cutter03 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","master~6^2~1","94956e26d3bd6bad46568cb5b765db9595c85834","416","","","","","377866444","1245856","","0"
"mothur","nondet","","cutter03","cutter03_1492109685","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=mothur,label=CREST_cutter-6","9","2017-04-13 18:54:45.550637 UTC","23.390919061","23.52547786","23.690401261","","94.4","","23.690401261 23.52390487 23.449793117 23.626061838 23.52547786 23.552158836 23.390919061 23.579602795 23.583182214","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2","+RTS -s -RTS","[[]]","0.0","","Linux cutter03 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","master~6^2~1","94956e26d3bd6bad46568cb5b765db9595c85834","416","","","","","398976352","1328496","","0"
"mothur","nondet","","cutter03","cutter03_1492109685","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=mothur,label=CREST_cutter-6","10","2017-04-13 18:54:45.550637 UTC","23.295961486","23.569879078","23.569879078","","94.7","","23.411837901 23.309178071 23.295961486 23.405230168 23.569879078 23.365646454 23.442995936 23.466090219 23.372036041","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2","+RTS -s -RTS","[[]]","0.0","","Linux cutter03 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","master~6^2~1","94956e26d3bd6bad46568cb5b765db9595c85834","416","","","","","376567333","1357056","","0"
